"","Athlete","Team","Score","Remark","Sex","Form","Group"
"574","RODRIGUES DOS REIS Pedro Henrique","BRA","8.5","","M","Other Soft-Weapon -","Group D/E/F"
"575","WU Shao Jie","AUS","8.4","","M","Other Soft-Weapon -","Group D/E/F"
"576","TSIKRIKAS Konstantinos","GRC","8.37","","M","Other Soft-Weapon -","Group D/E/F"
"577","ARAB Nadir","DZA","(DNS)","","M","Other Soft-Weapon -","Group D/E/F"
"578","KWAN Siew Hung","SGP","8.74","1ST Prize","M","Other Single-Weapon Routines- ","Group F"
"579","OTAKA Kazuhiko","JPN","8.72","2ND Prize","M","Other Single-Weapon Routines- ","Group F"
"580","CHEN Zuobin","CHN","8.64","3RD Prize","M","Other Single-Weapon Routines- ","Group F"
"581","MOHAMMED Ahmad Faizal","SGP","8.57","3RD Prize","M","Other Single-Weapon Routines- ","Group F"
"582","LOPATKIN Evgenii","KGZ","8.57","","M","Other Single-Weapon Routines- ","Group F"
"583","KARDOS Gabor","HUN","8.5","","M","Other Single-Weapon Routines- ","Group F"
"584","HACKNER Allan Jonathan","ZAF","8.48","","M","Other Single-Weapon Routines- ","Group F"
"585","ZHYVOTOK Heorhii","UKR","8.64","1ST Prize","M","Other Single-Weapon Routines-","Group D"
"586","MURATBEK UULU Edil","KGZ","8.62","2ND Prize","M","Other Single-Weapon Routines-","Group D"
"587","HASHCHUK Artem","UKR","8.61","2ND Prize","M","Other Single-Weapon Routines-","Group D"
"588","YAP Wei Sheng Wilson","SGP","8.6","3RD Prize","M","Other Single-Weapon Routines-","Group D"
"589","HATALA Patrik","SVK","8.59","3RD Prize","M","Other Single-Weapon Routines-","Group D"
"590","ESWAL Abhijeet","IND","8.54","","M","Other Single-Weapon Routines-","Group D"
"591","BALOGH Barnabas","HUN","8.53","","M","Other Single-Weapon Routines-","Group D"
"592","LIM Giovanni Moses","PHL","8.52","","M","Other Single-Weapon Routines-","Group D"
"593","MOHAMMED Mugahed Mohammed Hussein","YEM","(DNS)","","M","Other Single-Weapon Routines-","Group D"
"594","LWZA Bassam Ahmed Ali Rezq","YEM","(DNS)","","M","Other Single-Weapon Routines-","Group D"
"595","PHAM Nguyen Hoang Phuc","VNM","8.7","1ST Prize","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"596","KAMA Muhammet Can","TUR","8.63","2ND Prize","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"597","MAMEDOVI Rauli","GEO","8.59","2ND Prize","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"598","NISIOTIS Nikolaos","GRC","8.58","3RD Prize","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"599","MA?NICKI Konrad","POL","8.57","3RD Prize","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"600","TESTARDINI Matteo","ITA","8.56","","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"601","VALIEV Ilyoskhon","TJK","8.53","","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"602","NURMATOV Sherzod","TJK","8.39","","M","Nangun (Southern Sta?/Cudgel)-","Group D"
"603","ZHAO Chuanhui","CHN","8.63","1ST Prize","M","Other Double-Weapon Routines-","Group E/F"
"604","RAJA CATALA Vicente","ESP","8.62","2ND Prize","M","Other Double-Weapon Routines-","Group E/F"
"605","LEUTZ Richard","BRA","8.59","3RD Prize","M","Other Double-Weapon Routines-","Group E/F"
"606","DA ROSA Carlos Alberto","BRA","8.54","3RD Prize","M","Other Double-Weapon Routines-","Group E/F"
"607","CHEUNG Wing Kit","HKG","8.53","","M","Other Double-Weapon Routines-","Group E/F"
"608","CARRETERO MEDIAVILLA Jose","ESP","8.52","","M","Other Double-Weapon Routines-","Group E/F"
"609","WEERASINGHE Jagath Kumara","LKA","8.45","","M","Other Double-Weapon Routines-","Group E/F"
"610","ZHENG Wu","CHN","(DNS)","","M","Other Double-Weapon Routines-","Group E/F"
"611","LORENSU HEWAGE Nuwan Sanjeewa","LKA","(DNS)","","M","Other Double-Weapon Routines-","Group E/F"
"612","SEMAEV Oleg","KGZ","(DNS)","","M","Other Double-Weapon Routines-","Group E/F"
"613","SEAH Jun Xiang Dylan","SGP","8.7","1ST Prize","M","other Taijiquan Routines- ","Group B/C"
"614","LI Hao","HKG","8.63","1ST Prize","M","other Taijiquan Routines- ","Group B/C"
"615","WONG Kaden Dan","USA","8.62","1ST Prize","M","other Taijiquan Routines- ","Group B/C"
"616","TAN En Jie","SGP","8.58","1ST Prize","M","other Taijiquan Routines- ","Group B/C"
"617","MURENU Matteo","ITA","8.57","2ND Prize","M","other Taijiquan Routines- ","Group B/C"
"618","ZHANG Donghe","USA","8.55","2ND Prize","M","other Taijiquan Routines- ","Group B/C"
"619","ADAM AYMAN Morsi Aboelabbas","EGY","8.53","2ND Prize","M","other Taijiquan Routines- ","Group B/C"
"620","WONG Kadyn","USA","8.47","2ND Prize","M","other Taijiquan Routines- ","Group B/C"
"621","ZIAD AHMED Samy Mohamed","EGY","8.47","3RD Prize","M","other Taijiquan Routines- ","Group B/C"
"622","JOHN SAAD Amoun Mocus","EGY","8.47","3RD Prize","M","other Taijiquan Routines- ","Group B/C"
"623","JAYASUNDARA Pemitha Randes","LKA","8.36","3RD Prize","M","other Taijiquan Routines- ","Group B/C"
"624","KAMPS Darius","DEU","8.31","3RD Prize","M","other Taijiquan Routines- ","Group B/C"
"625","GRAD George Raul","ROU","8.2","3RD Prize","M","other Taijiquan Routines- ","Group B/C"
"626","YING Ruoxiang","CAN","8.14","3RD Prize","M","other Taijiquan Routines- ","Group B/C"
"627","KARUNANAYAKA MUDIYANSELAGE Anuja Chamod","LKA","8.12","","M","other Taijiquan Routines- ","Group B/C"
"628","GAJANAYAKA MUDALIGE Lakidu Himsara Gajanayaka","LKA","8.1","","M","other Taijiquan Routines- ","Group B/C"
"629","ROGOVEANU David","ROU","8.06","","M","other Taijiquan Routines- ","Group B/C"
"630","ROGOVEANU Dario","ROU","7.92","","M","other Taijiquan Routines- ","Group B/C"
"631","NGUYEN Khac Le Hoang","VNM","7.65","","M","other Taijiquan Routines- ","Group B/C"
"632","TEMIME Yazid","DZA","(DNS)","","M","other Taijiquan Routines- ","Group B/C"
"633","ZHENG Zhichao","CHN","8.9","1ST Prize","M","Yang Style -","Group D"
"634","LEUNG Yat Sing","HKG","8.69","2ND Prize","M","Yang Style -","Group D"
"635","LOEIS Erick Citra","IDN","8.67","3RD Prize","M","Yang Style -","Group D"
"636","JAYASEKARA MUDALIGE Hirusha Madushanka Jayasekara","LKA","8.51","3RD Prize","M","Yang Style -","Group D"
"637","HOREJS Milan","CZE","8.5","","M","Yang Style -","Group D"
"638","ZANINI Caio","BRA","8.41","","M","Yang Style -","Group D"
"639","CALADO GUERREIRO Salvador","PRT","8.41","","M","Yang Style -","Group D"
"640","YANG Xu","CHN","8.88","1ST Prize","M","Chen Style-","Group D"
"641","SAT Pak Long","HKG","8.69","2ND Prize","M","Chen Style-","Group D"
"642","CHUANG Tate Mathew","PHL","8.66","2ND Prize","M","Chen Style-","Group D"
"643","LI Shaoyue","MAC","8.62","3RD Prize","M","Chen Style-","Group D"
"644","HESHAM NABIL Abdelnabi Mohamed","EGY","8.6","3RD Prize","M","Chen Style-","Group D"
"645","SANT'ANNA LIMA DE ALMEIDA Gabriel Guarino","BRA","8.55","3RD Prize","M","Chen Style-","Group D"
"646","BARICA Florin Alexandru","ROU","8.55","","M","Chen Style-","Group D"
"647","BISONI Gianluigi","ITA","8.52","","M","Chen Style-","Group D"
"648","NUÑEZ ALARCON Rafael Ignacio","CHL","8.43","","M","Chen Style-","Group D"
"649","NOVOTNY Lukas","CZE","8.37","","M","Chen Style-","Group D"
"650","OUIDIR Lahcen","DZA","(DNS)","","M","Chen Style-","Group D"
"651","YEUNG Chung Hei","HKG","8.7","1ST Prize","M","Other Taijiquan Routines-","Group D"
"652","LIN Sanzhe","FRA","8.65","2ND Prize","M","Other Taijiquan Routines-","Group D"
"653","TRAN Phan Anh Tuan","VNM","8.61","3RD Prize","M","Other Taijiquan Routines-","Group D"
"654","BRAYTON Mason Tsan-Ming","USA","8.59","3RD Prize","M","Other Taijiquan Routines-","Group D"
"655","JANSEN Kai Frank","DEU","8.47","","M","Other Taijiquan Routines-","Group D"
"656","FERREIRA PENSE William","BRA","8.44","","M","Other Taijiquan Routines-","Group D"
"657","SIMON GARCIA Mario","ESP","8.41","","M","Other Taijiquan Routines-","Group D"
"658","ZHANG Qianqiu","CHN","8.8","1ST Prize","M","Chen Style-","Group E"
"659","ZHANG Cheng","USA","8.75","1ST Prize","M","Chen Style-","Group E"
"660","KANG Hongbin","CHN","8.72","2ND Prize","M","Chen Style-","Group E"
"661","FU Nengbin","CHN","8.72","2ND Prize","M","Chen Style-","Group E"
"662","LIM Che How","SGP","8.7","2ND Prize","M","Chen Style-","Group E"
"663","ZHOU Xu","CAN","8.68","3RD Prize","M","Chen Style-","Group E"
"664","SLAMKA Michal","SVK","8.54","3RD Prize","M","Chen Style-","Group E"
"665","SUMBULASHVILI Lasha","GEO","8.53","3RD Prize","M","Chen Style-","Group E"
"666","MIHAILA Claudiu","ROU","8.52","3RD Prize","M","Chen Style-","Group E"
"667","VLASENKO Romans","LVA","8.52","3RD Prize","M","Chen Style-","Group E"
"668","1STAMATOPOULOS Grigorios","GRC","8.51","","M","Chen Style-","Group E"
"669","BERRY Brett James","ZAF","8.5","","M","Chen Style-","Group E"
"670","HAUSKA Jiri","CZE","8.47","","M","Chen Style-","Group E"
"671","PANAGIOTAKIS Dimitrios","GRC","8.3","","M","Chen Style-","Group E"
"672","WEERASINGHE Jagath Kumara","LKA","8.24","","M","Chen Style-","Group E"
"673","HU Liqing","CHN","8.71","1ST Prize","M","Other Taijiquan Routines-","Group E"
"674","YAN Haichun","CHN","8.66","2ND Prize","M","Other Taijiquan Routines-","Group E"
"675","TIAN Chunyang","MAC","8.59","2ND Prize","M","Other Taijiquan Routines-","Group E"
"676","TAY Ah Huat","SGP","8.57","3RD Prize","M","Other Taijiquan Routines-","Group E"
"677","BROWN Mitchell Alexander Leon","AUS","8.55","3RD Prize","M","Other Taijiquan Routines-","Group E"
"678","DYBICZ Tomasz Jacek","POL","8.52","3RD Prize","M","Other Taijiquan Routines-","Group E"
"679","HERATH MUDIYANSELAGE Ananda Kumara","LKA","8.5","","M","Other Taijiquan Routines-","Group E"
"680","ORICCHIO Alexandre Maximilien Marc","CHE","8.5","","M","Other Taijiquan Routines-","Group E"
"681","CORONA AGUILAR Daniel Benjamin","MEX","8.49","","M","Other Taijiquan Routines-","Group E"
"682","LOPEZ MORENO Raul","ESP","8.45","","M","Other Taijiquan Routines-","Group E"
"683","NIKISINS Aleksejs","LVA","8.42","","M","Other Taijiquan Routines-","Group E"
"684","AIT-ZERROUK Karim","DZA","(DNS)","","M","Other Taijiquan Routines-","Group E"
"685","LON Weng Kam","MAC","8.63","1ST Prize","M","Other Taijiquan Routines-","Group F"
"686","MOHAMMED Ahmad Faizal","SGP","8.58","1ST Prize","M","Other Taijiquan Routines-","Group F"
"687","WU Shao Jie","AUS","8.51","2ND Prize","M","Other Taijiquan Routines-","Group F"
"688","NIÑO ORTEGA Eloy Alberto","ESP","8.51","2ND Prize","M","Other Taijiquan Routines-","Group F"
"689","CHAN Han Yeh","AUS","8.5","3RD Prize","M","Other Taijiquan Routines-","Group F"
"690","LO Wing Kit Albert","AUS","8.5","3RD Prize","M","Other Taijiquan Routines-","Group F"
"691","KARDOS Gabor","HUN","8.46","","M","Other Taijiquan Routines-","Group F"
"692","LEHMANN Nicholas Du?","USA","8.44","","M","Other Taijiquan Routines-","Group F"
"693","WONG Yu Wen","MYS","8.74","1ST Prize","M","Dao (Broadsword)-","Group D"
"694","DONG Xinyu","SGP","8.71","1ST Prize","M","Dao (Broadsword)-","Group D"
"695","CHENG Kei Win","SGP","8.69","1ST Prize","M","Dao (Broadsword)-","Group D"
"696","LIRA LUNA Javier Arturo","MEX","8.67","2ND Prize","M","Dao (Broadsword)-","Group D"
"697","TABAROV Fotekh","TJK","8.64","2ND Prize","M","Dao (Broadsword)-","Group D"
"698","YERITSYAN Gevorg","ARM","8.62","2ND Prize","M","Dao (Broadsword)-","Group D"
"699","MASCHERPE CUELBAS Joao Pedro","BRA","8.62","2ND Prize","M","Dao (Broadsword)-","Group D"
"700","CAO Shuai","CHN","8.61","2ND Prize","M","Dao (Broadsword)-","Group D"
"701","MANABE Katsumi Derek","USA","8.61","3RD Prize","M","Dao (Broadsword)-","Group D"
"702","LEZAMA LUCERO Luis Antonio","MEX","8.6","3RD Prize","M","Dao (Broadsword)-","Group D"
"703","Devante DARNELL-HAZLE","GBR","8.6","3RD Prize","M","Dao (Broadsword)-","Group D"
"704","NITAS Kevin Janos","HUN","8.6","3RD Prize","M","Dao (Broadsword)-","Group D"
"705","BERRY Adam James","ZAF","8.56","3RD Prize","M","Dao (Broadsword)-","Group D"
"706","GOMEZ RODRIGUEZ Angel Julian","MEX","8.55","3RD Prize","M","Dao (Broadsword)-","Group D"
"707","BELLOUMI Jihed","TUN","8.53","3RD Prize","M","Dao (Broadsword)-","Group D"
"708","TIBIRIÇÁ BATATA Victor Matheus","BRA","8.53","3RD Prize","M","Dao (Broadsword)-","Group D"
"709","KAZUO GONÇALVES MIYASAKA KauãN","BRA","8.52","","M","Dao (Broadsword)-","Group D"
"710","Brandon Lee SANDALLS","GBR","8.52","","M","Dao (Broadsword)-","Group D"
"711","LAMPADAS Konstantinos","GRC","8.5","","M","Dao (Broadsword)-","Group D"
"712","VERHEYEN Jonathan","BEL","8.48","","M","Dao (Broadsword)-","Group D"
"713","DZIECIELSKI Jakub","POL","8.46","","M","Dao (Broadsword)-","Group D"
"714","PETOCZ Levente","HUN","8.46","","M","Dao (Broadsword)-","Group D"
"715","GKOUMAS Anastasios","GRC","8.41","","M","Dao (Broadsword)-","Group D"
"716","YANG Yalin","CHN","8.25","","M","Dao (Broadsword)-","Group D"
"717","MONYAMA Maile Elvis","ZAF","8.2","","M","Dao (Broadsword)-","Group D"
"718","MOHAMMAD SHUAIB Ayubi","AFG","(DNS)","","M","Dao (Broadsword)-","Group D"
"719","Mame Birane KANE","SEN","(DNS)","","M","Dao (Broadsword)-","Group D"
"720","DE ALMEIDA COSTA Cleu","BRA","8.73","1ST Prize","M","Guandao (Kwan Dao)- ","Group D"
"721","NITAS Laszló Oliver","HUN","8.68","2ND Prize","M","Guandao (Kwan Dao)- ","Group D"
"722","GULISASHVILI David","GEO","8.68","2ND Prize","M","Guandao (Kwan Dao)- ","Group D"
"723","KROETZ Benjamin Fritz Ludwig","DEU","8.64","2ND Prize","M","Guandao (Kwan Dao)- ","Group D"
"724","ROUCKA Michal","CZE","8.57","3RD Prize","M","Guandao (Kwan Dao)- ","Group D"
"725","SIRTO Alessandro","ITA","8.55","3RD Prize","M","Guandao (Kwan Dao)- ","Group D"
"726","YANG Xinhua","CHN","8.55","3RD Prize","M","Guandao (Kwan Dao)- ","Group D"
"727","KALUARACHCHI Devin Tharunuwan","SGP","8.54","3RD Prize","M","Guandao (Kwan Dao)- ","Group D"
"728","SHAIK Aman Pasha","IND","8.45","","M","Guandao (Kwan Dao)- ","Group D"
"729","MO Don Hao","USA","8.44","","M","Guandao (Kwan Dao)- ","Group D"
"730","GIL ALONSO Marcos","ESP","8.43","","M","Guandao (Kwan Dao)- ","Group D"
"731","ULLAH Mohammad Wahid","USA","8.37","","M","Guandao (Kwan Dao)- ","Group D"
"732","HUSSAIN Saddam","IND","8.14","","M","Guandao (Kwan Dao)- ","Group D"
"733","GAO Sen","BOL","7.94","","M","Guandao (Kwan Dao)- ","Group D"
"734","BOUTOUBANE Yassine","DZA","(DNS)","","M","Guandao (Kwan Dao)- ","Group D"
"735","SIRTO Elisabetta","ITA","(DNS)","","M","Guandao (Kwan Dao)- ","Group D"
"736","CHAN Tsz Sa","HKG","8.67","1ST Prize","W","Other Taijiquan Routines-","Group B/C"
"737","BRAYTON Mariella Tsan-Ling","USA","8.65","1ST Prize","W","Other Taijiquan Routines-","Group B/C"
"738","MAQUILAN Alessandra May","PHL","8.63","2ND Prize","W","Other Taijiquan Routines-","Group B/C"
"739","POINT Flora","FRA","8.62","2ND Prize","W","Other Taijiquan Routines-","Group B/C"
"740","ELLIE SHERIF Magdy Eskander","EGY","8.6","3RD Prize","W","Other Taijiquan Routines-","Group B/C"
"741","SHAW Phylicia Boxi","USA","8.55","3RD Prize","W","Other Taijiquan Routines-","Group B/C"
"742","PARADIUK Vanessa Weronika","POL","8.51","3RD Prize","W","Other Taijiquan Routines-","Group B/C"
"743","KONG Yean Thong","MYS","8.4","","W","Other Taijiquan Routines-","Group B/C"
"744","TECI Alexandra Jasmine","ROU","8.35","","W","Other Taijiquan Routines-","Group B/C"
"745","ILIE So?a Maria","ROU","8.29","","W","Other Taijiquan Routines-","Group B/C"
"746","JIN Yinuo","CAN","8.25","","W","Other Taijiquan Routines-","Group B/C"
"747","COKHAMUR Ecrin","TUR","(DNS)","","W","Other Taijiquan Routines-","Group B/C"
"748","ANNIS Beatrice","ITA","8.57","2ND Prize","W","Chen Style- ","Group C"
"749","LABONI YONG Poi Qa","MYS","8.52","3RD Prize","W","Chen Style- ","Group C"
"750","JASLYN TAN Yu Ching","MYS","8.5","","W","Chen Style- ","Group C"
"751","MENDIS AMARASEKERA Samadhee Prathibha","LKA","8.4","","W","Chen Style- ","Group C"
"752","KOLISNYK Mariia","UKR","(DNS)","","W","Chen Style- ","Group C"
"753","KUZEMBAY Aiymzhan","KAZ","8.47","1ST Prize","W","Yang Style-","Group C"
"754","BELEAN Oana Vasilica","ROU","8.43","2ND Prize","W","Yang Style-","Group C"
"755","LEE MO LIN Estelle Shannon Lian Chu","MUS","8.37","3RD Prize","W","Yang Style-","Group C"
"756","CHONG CHAP SIN Marie Kim Lan","MUS","8.35","3RD Prize","W","Yang Style-","Group C"
"757","SOWARUTH Dishita","MUS","8.33","","W","Yang Style-","Group C"
"758","TAY Kai Xin Ranice","SGP","8.75","1ST Prize","W","Chen Style-","Group D"
"759","WAI Pui Cheng","MAC","8.71","2ND Prize","W","Chen Style-","Group D"
"760","KUBIAK Anna Maria","POL","8.68","3RD Prize","W","Chen Style-","Group D"
"761","CHIKHLADZE Nino","GEO","8.63","3RD Prize","W","Chen Style-","Group D"
"762","FOSSA Enrica","ITA","8.6","","W","Chen Style-","Group D"
"763","TEMIME Kahina","DZA","(DNS)","","W","Chen Style-","Group D"
"764","YAN Ningning","CHN","8.79","1ST Prize","W","Yang Style-","Group D"
"765","AU-YEUNG Pui Yue","HKG","8.76","2ND Prize","W","Yang Style-","Group D"
"766","IVANOVA Oryna","UKR","8.75","2ND Prize","W","Yang Style-","Group D"
"767","YEUNG Debbie","HKG","8.73","3RD Prize","W","Yang Style-","Group D"
"768","ANASTASIU Denisa Ruxandra","ROU","8.71","3RD Prize","W","Yang Style-","Group D"
"769","HUNG Si Fan","MAC","8.59","3RD Prize","W","Yang Style-","Group D"
"770","SHARMA Abhigya","IND","8.53","","W","Yang Style-","Group D"
"771","NIÑO GONZALEZ Alba","ESP","8.49","","W","Yang Style-","Group D"
"772","WONG KAM LAN Jessica Rachel","MUS","8.46","","W","Yang Style-","Group D"
"773","PAN Qiaoshan","CHN","8.92","1ST Prize","W","Other Taijiquan Routines-","Group D"
"774","LI Na","CHN","8.9","2ND Prize","W","Other Taijiquan Routines-","Group D"
"775","WANG Shiyu","CHN","8.8","2ND Prize","W","Other Taijiquan Routines-","Group D"
"776","ROMERO Shaman","FRA","8.64","3RD Prize","W","Other Taijiquan Routines-","Group D"
"777","VALENTIM UEMOTO Katemann Akemi","BRA","8.59","3RD Prize","W","Other Taijiquan Routines-","Group D"
"778","PAVAN Beatriz Danielle","BRA","8.57","3RD Prize","W","Other Taijiquan Routines-","Group D"
"779","GRINDEANU Sonia","ROU","8.47","","W","Other Taijiquan Routines-","Group D"
"780","SAFRONOVA Jekaterina","LVA","8.45","","W","Other Taijiquan Routines-","Group D"
"781","HEIDTMANN Anna Paulina","DEU","7.47","","W","Other Taijiquan Routines-","Group D"
"782","MOHAND SAIDI Katia","DZA","(DNS)","","W","Other Taijiquan Routines-","Group D"
"783","GABESKIRIA Maka","GEO","8.68","1ST Prize","W","Chen Style-","Group E"
"784","CHAO Haiya","CHN","8.65","2ND Prize","W","Chen Style-","Group E"
"785","NG Chiew Yen","SGP","8.64","3RD Prize","W","Chen Style-","Group E"
"786","ROVIRA-ALVAREZ Nelly Esther","USA","8.61","3RD Prize","W","Chen Style-","Group E"
"787","1STANKOVA Marketa","CZE","8.57","","W","Chen Style-","Group E"
"788","CHRYSOSTOMOU Daniela","ZAF","8.53","","W","Chen Style-","Group E"
"789","KLEJCHOVÁ Michaela","SVK","8.51","","W","Chen Style-","Group E"
"790","ENDO Tamami","JPN","8.67","1ST Prize","W","Other Taijiquan Routines-","Group E"
"791","WANG Zhong","CHN","8.65","2ND Prize","W","Other Taijiquan Routines-","Group E"
"792","OKUBO Tomomi","JPN","8.58","2ND Prize","W","Other Taijiquan Routines-","Group E"
"793","TRAN CONG Francine","FRA","8.51","3RD Prize","W","Other Taijiquan Routines-","Group E"
"794","PHAM Thi Huong","VNM","8.5","3RD Prize","W","Other Taijiquan Routines-","Group E"
"795","ZHIGALKINA Tatyana","KAZ","8.5","3RD Prize","W","Other Taijiquan Routines-","Group E"
"796","ZHU-HIPTMAIR Guirong","CHE","8.48","","W","Other Taijiquan Routines-","Group E"
"797","YANG Lili","USA","8.47","","W","Other Taijiquan Routines-","Group E"
"798","UEDA Mikiko","JPN","8.43","","W","Other Taijiquan Routines-","Group E"
"799","PINEDO SORUCO Cecilia Esperanza","BOL","8.24","","W","Other Taijiquan Routines-","Group E"
"800","GUEDES Marta Denise","BRA","(DNS)","","W","Other Taijiquan Routines-","Group E"
"801","CHEONG Lao Leng","MAC","8.8","1ST Prize","W","Other Taijiquan Routines-","Group F"
"802","HAYASHI Kyoko","JPN","8.75","1ST Prize","W","Other Taijiquan Routines-","Group F"
"803","PAVLENKO Elena","KGZ","8.66","2ND Prize","W","Other Taijiquan Routines-","Group F"
"804","DE SALES SOARES DE MELO Cristina","PRT","8.62","2ND Prize","W","Other Taijiquan Routines-","Group F"
"805","HO Lai Sim","MAC","8.6","3RD Prize","W","Other Taijiquan Routines-","Group F"
"806","ZASLAWSKI Louise Edna Anne","AUS","8.52","3RD Prize","W","Other Taijiquan Routines-","Group F"
"807","DINH Thi Thuy Lan","VNM","8.49","3RD Prize","W","Other Taijiquan Routines-","Group F"
"808","SIN Shuet Yee","AUS","8.48","","W","Other Taijiquan Routines-","Group F"
"809","YE Kanglian","DEU","8.45","","W","Other Taijiquan Routines-","Group F"
"810","MC CARDLE Candace Jane","ZAF","8.43","","W","Other Taijiquan Routines-","Group F"
"811","KHOO Cheng Choo","AUS","8.35","","W","Other Taijiquan Routines-","Group F"
"812","CHAN I Lo","MAC","(DNS)","","W","Other Taijiquan Routines-","Group F"
"813","GARCIA MAZUECOS Francisco","ESP","8.8","1ST Prize","M","Gun (Cudgel/Sta?) -","Group D"
"814","BABENKO Alexey","KAZ","8.75","1ST Prize","M","Gun (Cudgel/Sta?) -","Group D"
"815","SINGH Lokender","IND","8.72","2ND Prize","M","Gun (Cudgel/Sta?) -","Group D"
"816","SZATAI Zoltan","HUN","8.71","2ND Prize","M","Gun (Cudgel/Sta?) -","Group D"
"817","DA SILVA CAPELAZZO Anthony","BRA","8.66","2ND Prize","M","Gun (Cudgel/Sta?) -","Group D"
"818","KHURSHEDZODA Mirzodalerkhon","TJK","8.66","2ND Prize","M","Gun (Cudgel/Sta?) -","Group D"
"819","MURSZEWSKI Maksymilian Grzegorz","POL","8.65","2ND Prize","M","Gun (Cudgel/Sta?) -","Group D"
"820","BARICA Florin Alexandru","ROU","8.63","3RD Prize","M","Gun (Cudgel/Sta?) -","Group D"
"821","ESSID Ahmed","TUN","8.61","3RD Prize","M","Gun (Cudgel/Sta?) -","Group D"
"822","SANCHEZ ROCHA Hugo Aurelio","MEX","8.6","3RD Prize","M","Gun (Cudgel/Sta?) -","Group D"
"823","YUEN Kam Weng","MAC","8.59","3RD Prize","M","Gun (Cudgel/Sta?) -","Group D"
"824","KUKARI Bonham Jayden Jimmy","ZAF","8.58","3RD Prize","M","Gun (Cudgel/Sta?) -","Group D"
"825","BORGES COUTINHO GALLO Iuri","BRA","8.57","3RD Prize","M","Gun (Cudgel/Sta?) -","Group D"
"826","Daniel John Joseph SHAW-ABULAFIA","GBR","8.55","3RD Prize","M","Gun (Cudgel/Sta?) -","Group D"
"827","MIRATSKY Jakub","CZE","8.53","","M","Gun (Cudgel/Sta?) -","Group D"
"828","KESKIN Ahmet Taha","TUR","8.52","","M","Gun (Cudgel/Sta?) -","Group D"
"829","MOUSTAFA MOUSTAFA Abbas Abbas","EGY","8.5","","M","Gun (Cudgel/Sta?) -","Group D"
"830","WILCZY?SKI Maciej Bart?Omiej","POL","8.49","","M","Gun (Cudgel/Sta?) -","Group D"
"831","GU Nicolas","FRA","8.48","","M","Gun (Cudgel/Sta?) -","Group D"
"832","JALI Khayelihle Goodenough","ZAF","8.47","","M","Gun (Cudgel/Sta?) -","Group D"
"833","TOMÁS BARROSO Tiago","PRT","8.46","","M","Gun (Cudgel/Sta?) -","Group D"
"834","THENNAKOON MUDIYANSELAGE Avishka Prasad Thennakoon","LKA","8.45","","M","Gun (Cudgel/Sta?) -","Group D"
"835","HASIEGANU Victor","ROU","8.42","","M","Gun (Cudgel/Sta?) -","Group D"
"836","PAW?OWICZ Mateusz Robert","POL","8.41","","M","Gun (Cudgel/Sta?) -","Group D"
"837","MURADYAN Aram","ARM","(DNS)","","M","Gun (Cudgel/Sta?) -","Group D"
"838","YANG Zhiwei","CHN","8.9","1ST Prize","M","Jian (Straight Sword)-","Group D"
"839","ZVIRIN Jonathan","ISR","8.7","1ST Prize","M","Jian (Straight Sword)-","Group D"
"840","TRAIZE Arstan","KAZ","8.67","2ND Prize","M","Jian (Straight Sword)-","Group D"
"841","BRAYTON Mason Tsan-Ming","USA","8.66","2ND Prize","M","Jian (Straight Sword)-","Group D"
"842","YALKIN Osman","TUR","8.6","2ND Prize","M","Jian (Straight Sword)-","Group D"
"843","GAMBINO Michele","ITA","8.59","3RD Prize","M","Jian (Straight Sword)-","Group D"
"844","ZEDDA Ivo","ITA","8.56","3RD Prize","M","Jian (Straight Sword)-","Group D"
"845","DI BENEDETTO Claudio","ITA","8.55","3RD Prize","M","Jian (Straight Sword)-","Group D"
"846","ZHANG Alex Mushan","USA","8.53","3RD Prize","M","Jian (Straight Sword)-","Group D"
"847","GORSKIS Aleksandrs","LVA","8.51","3RD Prize","M","Jian (Straight Sword)-","Group D"
"848","MOREIRA DE ARAÚJO Fabio","BRA","8.49","","M","Jian (Straight Sword)-","Group D"
"849","CORREA IXTEPAN Diego Armando","MEX","8.49","","M","Jian (Straight Sword)-","Group D"
"850","Cam'Ron Yiu Fung TSANG","GBR","8.48","","M","Jian (Straight Sword)-","Group D"
"851","AYDINYAN Aram","ARM","8.46","","M","Jian (Straight Sword)-","Group D"
"852","FLORES PACHECO Jonathan Eber","MEX","8.45","","M","Jian (Straight Sword)-","Group D"
"853","BEROUTSOS Charalampos","GRC","8.44","","M","Jian (Straight Sword)-","Group D"
"854","OUIDIR Lahcen","DZA","(DNS)","","M","Jian (Straight Sword)-","Group D"
"855","JANSEN Kai Frank","DEU","(DNS)","","M","Jian (Straight Sword)-","Group D"
"856","YANG Fuhua","CHN","9.05","1ST Prize","M","Nandao (Southern Broadsword)-","Group D"
"857","LOW Shun Quan Benette","SGP","8.95","2ND Prize","M","Nandao (Southern Broadsword)-","Group D"
